site,sample name,lab number,bottom increment (cm),Mid Point Section (cm),bulk density (g/cm^3),%Nitrogen,%Carbon,%Hydrogen,LOI550,LOI950,C density (g/cm^3),Culmulative carbon mass (g/cm^2),Culmulative C mass (areal carbon mass/carbon stock) Kg C/m^2,Peat Accretion Rate averaged across entire core (cm/yr),Average carbon accumulation rate (g/cm^2/yr) ,Average carbon accumulation (g/m^2/yr),Age for Midpoint of section estimated from rBacon model (yrbp),Accretion Rate Obtained using rBacon age-depth model (cmyr-1),Modelled Carbon accumulation rate (gcm-2yr-1),Modelled Carbon Accumulation rate (gm-2yr-1),Carbon Density (gcm-3),OM density (gcm-3)
DB-02,DB-02-03,88,136,134,0.132859752,2.2763,40.934,5.0612,73.82346241,0.018462415,0.054384811,7.763245586,77.63245586,0.011865758,0.000645317,6.453169786,11360.12782,0.019192957,0.001043805,10.43805334,0.049040834,0.098081669
DB-02,DB-02-03,89,140,138,0.281052512,1.5581,18.878,2.6025,35.50231777,0.009989676,0.053057093,7.975473959,79.75473959,0.011865758,0.000629563,6.295626043,11672.95869,0.012673627,0.000672426,6.72425809,0.049890078,0.099780156
DB-03,DB-03-01,27,4,2,0.076715851,2.2895,39.954,4.9759,80.59447847,0.02645333,0.030651051,0.122604204,1.226042044,0.010257678,0.000314409,3.144086068,41.16568,0.018219873,0.000558458,5.584582584,0.03091437,0.06182874
DB-03,DB-03-01,28,8,6,0.075924032,2.2354,39.321,4.7517,77.8764513,0.028361251,0.029854089,0.242020559,2.420205591,0.010257678,0.000306234,3.06233623,256.83926,0.017101413,0.000510547,5.105471002,0.029563471,0.059126942
DB-03,DB-03-01,29,12,10,0.089384953,2.1947,38.933,4.7044,76.58717526,0.02945288,0.034800244,0.381221533,3.812215334,0.010257678,0.00035697,3.569696862,486.82843,0.017072693,0.000594134,5.941338747,0.034228705,0.06845741
DB-03,DB-03-01,30,16,14,0.112697589,1.8769,39.184,4.7541,77.19117617,0.032385981,0.044159423,0.557859227,5.578592272,0.010257678,0.000452973,4.529731382,700.69248,0.017018097,0.000751509,7.515093519,0.043496297,0.086992595
DB-03,DB-03-01,31,20,18,0.124308254,1.6025,42.24,4.8985,80.34882538,0.036397844,0.052507807,0.767890454,7.678904535,0.010257678,0.000538608,5.386081623,909.34672,0.019169247,0.001006535,10.06535114,0.049940111,0.099880222
DB-03,DB-03-01,32,24,22,0.112849525,1.4774,44.592,5.0869,84.90099791,0.036824783,0.05032186,0.969177895,9.691778946,0.010257678,0.000516185,5.161854295,1259.04354,0.009642585,0.000485233,4.852328151,0.047905187,0.095810373
DB-03,DB-03-01,33,28,26,0.096983199,1.4278,45.242,5.1738,84.8354523,0.04779587,0.043877139,1.144686451,11.44686451,0.010257678,0.000450078,4.500775559,1692.82674,0.008109435,0.000355819,3.558188074,0.041138068,0.082276136
DB-03,DB-03-01,34,32,30,0.099347699,1.1268,47.446,5.2643,88.51984581,0.032782848,0.047136509,1.333232488,13.33232488,0.010257678,0.000483511,4.835111254,2124.23011,0.008174468,0.000385316,3.853158868,0.043971215,0.08794243
